name,state,planned_count,announced_date
Data Centers Under Construction,TX,140,2026-03-31
Data Centers Under Construction,VA,136,2026-03-31
Data Centers Under Construction,GA,56,2026-03-31
Data Centers Under Construction,OH,51,2026-03-31
Data Centers Under Construction,AZ,35,2026-03-31
Data Centers Under Construction,NV,29,2026-03-31
Data Centers Under Construction,IN,23,2026-03-31
Data Centers Under Construction,MS,21,2026-03-31
Data Centers Under Construction,IL,19,2026-03-31
Data Centers Under Construction,IA,15,2026-03-31
Data Centers Under Construction,OR,14,2026-03-31
Data Centers Under Construction,NC,12,2026-03-31
Data Centers Under Construction,SC,12,2026-03-31
Data Centers Under Construction,WI,12,2026-03-31
Data Centers Under Construction,MD,12,2026-03-31
Data Centers Under Construction,PA,11,2026-03-31
Data Centers Under Construction,LA,11,2026-03-31
Data Centers Under Construction,UT,10,2026-03-31
Data Centers Under Construction,OK,9,2026-03-31
Data Centers Under Construction,MO,8,2026-03-31
Data Centers Under Construction,AL,8,2026-03-31
Data Centers Under Construction,WY,8,2026-03-31
Data Centers Under Construction,CA,6,2026-03-31
Data Centers Under Construction,CO,6,2026-03-31
Data Centers Under Construction,NE,5,2026-03-31
Data Centers Under Construction,NM,5,2026-03-31
Data Centers Under Construction,MN,4,2026-03-31
Data Centers Under Construction,ND,4,2026-03-31
Data Centers Under Construction,WA,3,2026-03-31
Data Centers Under Construction,NY,3,2026-03-31
Data Centers Under Construction,TN,3,2026-03-31
Data Centers Under Construction,FL,2,2026-03-31
Data Centers Under Construction,NJ,2,2026-03-31
Data Centers Under Construction,KY,2,2026-03-31
Data Centers Under Construction,AR,2,2026-03-31
Data Centers Under Construction,ID,2,2026-03-31
Data Centers Under Construction,MI,1,2026-03-31
Data Centers Under Construction,KS,1,2026-03-31
